player,ranking,birthday,handedness,nationality,height,turned_pro,prize_money,titles,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Converted,Return Games Won,Return Points Won,Total Points Won,Aces,Double Faults,Break Points Faced,Service Games Played,Break Points Opportunities,Return Games Played
Taylor Fritz,20,1997-10-28,Right,USA,196,2015,6024904,1,0.59,0.75,0.51,0.62,0.82,0.65,0.26,0.49,0.36,0.19,0.35,0.5,2467,685,1604,3385,1751,3356
Lorenzo Sonego,21,1995-05-11,Right,Italy,191,2013,3404464,2,0.65,0.72,0.51,0.63,0.82,0.65,0.29,0.46,0.36,0.18,0.35,0.5,902,296,918,1844,928,1830
Aslan Karatsev,22,1993-09-04,Right,Russia,185,2011,2658380,3,0.6,0.71,0.52,0.62,0.79,0.63,0.31,0.51,0.38,0.25,0.38,0.51,362,293,545,977,646,979
John Isner,23,1985-04-26,Right,USA,208,2007,20303940,16,0.69,0.79,0.56,0.71,0.92,0.72,0.22,0.42,0.3,0.1,0.3,0.51,13343,1627,2855,10271,3436,10161
Marin Cilic,24,1988-09-28,Right,Bosnia Herzegovina,198,2005,29548449,20,0.57,0.77,0.52,0.64,0.84,0.66,0.3,0.5,0.38,0.23,0.38,0.52,7542,2450,4757,10486,6098,10361
Karen Khachanov,25,1996-05-21,Right,Russia,198,2013,10571182,4,0.62,0.74,0.52,0.64,0.82,0.65,0.28,0.5,0.4,0.21,0.37,0.51,2513,862,1972,4013,2119,4025
Cristian Garin,26,1996-05-30,Right,Chile,185,2011,4014581,5,0.61,0.69,0.5,0.61,0.76,0.62,0.31,0.5,0.4,0.24,0.38,0.5,621,423,1088,1748,1055,1751
Roger Federer,27,1981-08-08,Left,Switzerland,185,1998,130594339,103,0.62,0.77,0.57,0.67,0.89,0.7,0.32,0.51,0.41,0.27,0.4,0.54,11478,2759,6459,18872,11948,18475
Gael Monfils,28,1986-09-01,Right,France,193,2004,20690696,11,0.62,0.73,0.5,0.62,0.81,0.64,0.32,0.49,0.41,0.25,0.39,0.51,6634,2891,5037,10052,6165,10048
Daniel Evans,29,1990-05-23,Left,United Kingdom,175,2006,4921787,1,0.61,0.7,0.51,0.62,0.78,0.63,0.3,0.5,0.41,0.23,0.38,0.5,812,553,1405,2411,1370,2438
Alex de Minaur,30,1999-02-17,Right,Australia,183,2015,6330763,5,0.61,0.7,0.53,0.61,0.79,0.64,0.3,0.51,0.41,0.24,0.38,0.51,734,481,1278,2391,1408,2410
Frances Tiafoe,31,1998-01-20,Right,USA,188,2015,5283110,1,0.62,0.71,0.52,0.61,0.8,0.64,0.27,0.49,0.38,0.19,0.35,0.5,1489,563,1513,2926,1460,2934
Alexander Bublik,32,1997-06-17,Right,Russia,196,2016,3248198,1,0.58,0.76,0.45,0.62,0.79,0.63,0.28,0.46,0.37,0.18,0.35,0.49,1805,955,990,1775,884,1772
Albert Ramos-Vinolas,33,1988-01-17,Left,Spain,188,2007,9013210,4,0.62,0.68,0.52,0.61,0.76,0.62,0.3,0.5,0.4,0.23,0.38,0.5,1741,1290,3746,6230,3594,6287
Lloyd Harris,34,1997-02-24,Right,South Africa,193,2015,2748718,0,0.65,0.75,0.47,0.6,0.8,0.65,0.26,0.47,0.39,0.18,0.34,0.5,1094,254,633,1292,591,1298
Marton Fucsovics,35,1992-02-08,Right,Hungary,188,2010,4904310,1,0.57,0.7,0.5,0.6,0.76,0.62,0.31,0.51,0.4,0.25,0.39,0.5,824,690,1494,2470,1585,2488
Federico Delbonis,36,1990-10-05,Left,Argentina,193,2007,5490985,2,0.61,0.69,0.51,0.6,0.76,0.62,0.29,0.5,0.4,0.22,0.37,0.5,1191,1126,2373,4001,2260,4028
Grigor Dimitrov,37,1991-05-16,Left,Bulgaria,191,2008,20588645,8,0.62,0.74,0.51,0.63,0.82,0.66,0.3,0.49,0.38,0.22,0.37,0.51,3955,2036,3491,7372,4141,7257
Fabio Fognini,38,1987-05-24,Right,Italy,178,2004,16634653,9,0.59,0.68,0.48,0.57,0.72,0.6,0.32,0.51,0.43,0.27,0.39,0.5,2279,2741,5532,8474,5351,8540
Tommy Paul,39,1997-05-17,Right,USA,185,2015,2389658,1,0.61,0.7,0.52,0.59,0.78,0.63,0.29,0.5,0.4,0.23,0.37,0.5,518,263,779,1423,806,1421
Sebastian Korda,40,2000-07-05,Right,USA,196,2018,1763660,1,0.65,0.7,0.5,0.66,0.79,0.63,0.31,0.51,0.4,0.25,0.39,0.51,361,176,489,804,503,791
Filip Krajinovic,41,1992-02-27,Right,Serbia,185,2008,5038008,0,0.64,0.68,0.51,0.61,0.76,0.62,0.29,0.51,0.41,0.24,0.38,0.5,923,390,1460,2378,1383,2386
Kei Nishikori,42,1989-12-29,Right,Japan,178,2007,25065492,12,0.61,0.7,0.53,0.61,0.8,0.64,0.31,0.53,0.41,0.27,0.4,0.52,2036,1615,3944,7572,5076,7621
Ilya Ivashka,43,1994-02-24,Right,Belarus,193,2013,1947392,1,0.61,0.72,0.5,0.61,0.78,0.64,0.29,0.52,0.38,0.23,0.38,0.51,627,301,645,1175,714,1167
Ugo Humbert,44,1998-06-26,Left,France,188,2016,2784708,3,0.61,0.74,0.52,0.66,0.83,0.66,0.27,0.47,0.35,0.17,0.34,0.5,956,386,812,1667,798,1646
Dusan Lajovic,45,1990-06-30,Left,Serbia,183,2007,7293129,1,0.66,0.68,0.52,0.6,0.77,0.62,0.28,0.49,0.39,0.21,0.36,0.49,1263,614,2377,4130,2199,4146
Jenson Brooksby,46,2000-10-26,Right,USA,193,2020,858799,0,0.64,0.7,0.52,0.59,0.8,0.64,0.3,0.51,0.4,0.26,0.39,0.51,81,41,190,386,240,379
Alejandro Davidovich Fokina,47,1999-06-05,Right,Spain,183,2017,2173297,0,0.67,0.65,0.49,0.57,0.72,0.6,0.32,0.51,0.4,0.26,0.39,0.49,194,266,766,1169,746,1176
Botic van de Zandschulp,48,1995-10-04,Right,Netherlands,191,2013,1278085,0,0.64,0.74,0.5,0.65,0.81,0.65,0.31,0.49,0.39,0.23,0.37,0.51,230,125,247,467,277,473
Laslo Djere,49,1995-06-02,Right,Serbia,188,2013,3260987,2,0.6,0.7,0.5,0.6,0.76,0.62,0.3,0.49,0.37,0.21,0.37,0.49,790,557,1168,1965,1104,1967
Pedro Martinez,50,1997-04-26,Right,Spain,185,2016,2138671,1,0.65,0.66,0.48,0.61,0.74,0.6,0.31,0.51,0.41,0.26,0.39,0.5,178,254,588,886,543,882
Dominic Thiem,51,1993-09-03,Left,Austria,185,2011,28861766,17,0.6,0.74,0.53,0.63,0.83,0.66,0.3,0.5,0.39,0.24,0.38,0.51,2705,1287,2707,5841,3520,5854
Dominik Koepfer,52,1994-04-29,Left,Germany,180,2016,2122316,0,0.62,0.68,0.49,0.61,0.74,0.6,0.3,0.5,0.4,0.22,0.37,0.49,308,264,609,915,517,924
Benoit Paire,53,1989-05-08,Right,France,196,2007,9553639,3,0.52,0.75,0.46,0.6,0.74,0.61,0.31,0.49,0.4,0.23,0.38,0.49,4400,2633,4115,6397,3777,6414
Tallon Griekspoor,54,1996-07-02,Right,Netherlands,188,2015,969099,0,0.64,0.71,0.49,0.66,0.79,0.63,0.21,0.47,0.36,0.13,0.32,0.48,173,79,210,346,122,344
Marcos Giron,55,1993-07-24,Right,USA,180,2014,1917422,0,0.61,0.71,0.49,0.61,0.78,0.63,0.27,0.49,0.38,0.18,0.35,0.49,431,170,616,1065,530,1081
Miomir Kecmanovic,56,1999-08-31,Right,Serbia,183,2017,2899266,1,0.6,0.7,0.53,0.62,0.78,0.63,0.28,0.51,0.4,0.22,0.37,0.5,514,302,913,1550,863,1557
Lorenzo Musetti,57,2002-03-03,Left,Italy,185,2019,1222924,0,0.66,0.67,0.49,0.61,0.76,0.61,0.29,0.5,0.36,0.21,0.37,0.49,172,121,437,723,413,726
Adrian Mannarino,58,1988-06-29,Left,France,180,2004,8861961,1,0.6,0.69,0.5,0.59,0.76,0.62,0.28,0.5,0.42,0.22,0.37,0.49,2286,1276,3530,5916,3152,5959
Arthur Rinderknech,59,1995-07-23,Right,France,196,2018,1094599,0,0.64,0.76,0.48,0.66,0.84,0.66,0.27,0.47,0.4,0.19,0.34,0.5,488,101,273,591,282,594
Jan-Lennard Struff,60,1990-04-25,Right,Germany,193,2009,7458007,0,0.56,0.76,0.49,0.61,0.8,0.64,0.27,0.49,0.37,0.19,0.36,0.5,3056,1271,2152,4298,2202,4306
Mackenzie McDonald,61,1995-04-16,Right,USA,178,2016,2835306,0,0.63,0.69,0.51,0.6,0.77,0.62,0.28,0.5,0.4,0.2,0.36,0.49,586,293,833,1443,743,1460
Sebastian Baez,62,2000-12-28,Right,Argentina,170,2018,519744,0,0.74,0.62,0.51,0.62,0.71,0.59,0.34,0.5,0.4,0.28,0.4,0.49,38,34,190,248,179,254
James Duckworth,63,1992-01-21,Right,Australia,183,2010,2803213,0,0.56,0.72,0.5,0.64,0.79,0.63,0.25,0.47,0.37,0.16,0.33,0.48,1078,388,1002,1692,723,1682
Pablo Andujar,64,1986-01-23,Right,Spain,180,2003,6711166,4,0.64,0.65,0.48,0.57,0.7,0.59,0.31,0.52,0.4,0.25,0.39,0.49,633,1208,3093,4499,2853,4546
Soonwoo Kwon,65,1997-12-02,Right,South Korea,180,2015,1715190,1,0.61,0.7,0.51,0.6,0.78,0.63,0.28,0.51,0.37,0.22,0.37,0.5,359,245,531,952,567,959
Alex Molcan,66,1997-12-01,Left,Slovakia,178,2015,636934,0,0.67,0.67,0.51,0.56,0.75,0.62,0.33,0.53,0.37,0.28,0.4,0.51,72,45,126,221,163,220
Benjamin Bonzi,67,1996-06-09,Right,France,183,2015,1121422,0,0.59,0.7,0.47,0.61,0.76,0.61,0.29,0.51,0.42,0.22,0.37,0.49,173,54,216,348,179,344
David Goffin,68,1990-12-07,Right,Belgium,180,2009,15361970,5,0.58,0.71,0.5,0.6,0.77,0.63,0.31,0.53,0.41,0.27,0.4,0.51,2503,1635,3217,5663,3797,5726
Federico Coria,69,1992-03-09,Right,Argentina,180,2010,1465937,0,0.66,0.63,0.49,0.58,0.68,0.58,0.31,0.52,0.41,0.26,0.39,0.49,144,144,531,688,438,701
Hugo Gaston,70,2000-09-26,Left,France,173,2018,1060520,0,0.57,0.64,0.49,0.65,0.69,0.58,0.32,0.49,0.4,0.24,0.38,0.48,74,74,355,399,248,405
Emil Ruusuvuori,71,1999-04-02,Right,Finland,188,2018,1275356,0,0.65,0.7,0.5,0.57,0.76,0.63,0.31,0.52,0.39,0.24,0.39,0.51,323,249,466,845,517,838
Maxime Cressy,72,1997-05-08,Right,France,198,2019,946553,0,0.62,0.78,0.53,0.72,0.89,0.69,0.25,0.45,0.4,0.14,0.32,0.51,463,241,164,416,148,412
Brandon Nakashima,73,2001-08-03,Right,USA,188,2019,959313,0,0.61,0.75,0.55,0.63,0.85,0.67,0.27,0.5,0.42,0.19,0.36,0.51,321,90,227,549,251,541
Jiri Vesely,74,1993-07-10,Left,Czech Republic,198,2009,5196064,2,0.64,0.73,0.51,0.63,0.81,0.65,0.27,0.47,0.37,0.18,0.35,0.5,2136,997,1749,3441,1697,3456
Kamil Majchrzak,75,1996-01-13,Right,Poland,180,2013,1517582,0,0.59,0.71,0.5,0.59,0.77,0.63,0.26,0.49,0.33,0.17,0.35,0.49,201,109,257,458,235,453
Francisco Cerundolo,76,1998-08-13,Right,Argentina,185,2018,529166,0,0.65,0.63,0.5,0.61,0.7,0.58,0.37,0.5,0.42,0.29,0.42,0.5,54,68,212,278,191,278
Oscar Otte,77,1993-07-16,Right,Germany,193,2011,1234196,0,0.59,0.74,0.48,0.57,0.78,0.63,0.27,0.5,0.39,0.19,0.36,0.5,214,112,184,370,183,368
John Millman,78,1989-06-14,Right,Australia,183,2006,4969909,1,0.62,0.68,0.53,0.59,0.76,0.62,0.28,0.51,0.41,0.23,0.37,0.5,974,469,1800,3095,1671,3059
Roberto Carballes Baena,79,1993-03-23,Right,Spain,183,2011,2835707,1,0.63,0.67,0.49,0.57,0.73,0.6,0.3,0.51,0.43,0.24,0.38,0.49,416,460,1123,1755,998,1780
Jordan Thompson,80,1994-04-20,Right,Australia,183,2013,3699648,0,0.62,0.71,0.49,0.61,0.77,0.63,0.28,0.49,0.37,0.2,0.36,0.49,1104,393,1303,2270,1199,2259
Daniel Altmaier,81,1998-09-12,Left,Germany,188,2014,761452,0,0.6,0.7,0.46,0.66,0.76,0.61,0.28,0.47,0.42,0.21,0.35,0.48,222,97,302,425,211,428
Richard Gasquet,82,1986-06-18,Left,France,183,2002,19181614,15,0.62,0.73,0.53,0.61,0.82,0.65,0.3,0.51,0.41,0.24,0.38,0.52,4807,2139,5028,10804,6412,10634
Facundo Bagnis,83,1990-02-27,Left,Argentina,183,2008,2223675,0,0.61,0.68,0.5,0.6,0.74,0.61,0.29,0.47,0.37,0.19,0.36,0.48,480,333,796,1197,601,1188
Andy Murray,84,1987-05-15,Right,United Kingdom,191,2005,62570998,46,0.58,0.74,0.52,0.62,0.82,0.65,0.33,0.55,0.43,0.31,0.42,0.53,6065,2255,5366,11061,7884,10964
Mikael Ymer,85,1998-09-09,Right,Sweden,183,2015,1652535,0,0.67,0.64,0.47,0.55,0.69,0.58,0.31,0.51,0.42,0.27,0.39,0.49,196,260,679,987,621,978
Ricardas Berankis,86,1990-06-21,Right,Lithuania,175,2007,4456642,0,0.57,0.7,0.51,0.59,0.77,0.62,0.27,0.5,0.37,0.19,0.36,0.49,1044,832,1734,3003,1610,3037
Joao Sousa,87,1989-03-30,Right,Portugal,185,2008,7548798,4,0.61,0.7,0.49,0.58,0.75,0.62,0.29,0.48,0.38,0.21,0.37,0.49,1471,889,2967,4959,2789,4988
Holger Rune,88,2003-04-29,Right,Denmark,188,2020,500738,0,0.6,0.69,0.47,0.52,0.71,0.6,0.29,0.53,0.41,0.23,0.37,0.49,86,99,189,310,178,314
Henri Laaksonen,89,1992-03-31,Right,Finland,185,2009,1974687,0,0.58,0.7,0.48,0.59,0.74,0.61,0.28,0.49,0.39,0.21,0.37,0.49,512,350,682,1083,598,1102
Alexei Popyrin,90,1999-08-05,Right,Australia,196,2017,2165380,1,0.6,0.74,0.51,0.65,0.81,0.65,0.25,0.45,0.34,0.15,0.33,0.49,856,379,656,1245,541,1250
Jaume Munar,91,1997-05-05,Right,Spain,183,2014,2346147,0,0.64,0.68,0.48,0.6,0.74,0.61,0.31,0.51,0.36,0.23,0.38,0.49,447,338,1002,1515,956,1507
Kevin Anderson,92,1986-05-18,Right,South Africa,203,2007,17714152,7,0.64,0.77,0.53,0.66,0.87,0.68,0.26,0.47,0.36,0.16,0.34,0.51,7674,1791,3092,7881,3504,7804
Steve Johnson,93,1989-12-24,Right,USA,188,2012,7251136,4,0.59,0.75,0.52,0.65,0.84,0.66,0.26,0.46,0.36,0.16,0.33,0.5,3054,1128,2197,4666,2111,4626
Jiri Lehecka,94,2001-11-08,Right,Czech Republic,185,2020,291653,0,0.62,0.7,0.53,0.67,0.81,0.64,0.25,0.46,0.31,0.15,0.34,0.49,29,13,42,72,35,72
Marco Cecchinato,95,1992-09-30,Left,Italy,185,2010,4292032,3,0.66,0.68,0.49,0.57,0.75,0.62,0.28,0.48,0.36,0.18,0.35,0.48,753,428,1185,2094,1029,2073
Yoshihito Nishioka,96,1995-09-27,Left,Japan,170,2014,3590782,1,0.65,0.63,0.53,0.58,0.71,0.6,0.27,0.53,0.39,0.23,0.37,0.49,303,295,1366,2010,1201,2040
Peter Gojowczyk,97,1989-07-15,Right,Germany,188,2006,3431988,1,0.55,0.74,0.48,0.59,0.77,0.62,0.27,0.49,0.39,0.19,0.36,0.49,1132,624,1128,1986,981,1996
Alejandro Tabilo,98,1997-06-02,Left,Canada,188,2015,640935,0,0.64,0.68,0.49,0.56,0.74,0.61,0.33,0.51,0.49,0.27,0.39,0.51,121,66,170,282,149,270
Thanasi Kokkinakis,99,1996-04-10,Right,Australia,193,2013,2054764,1,0.6,0.75,0.49,0.65,0.82,0.65,0.24,0.48,0.37,0.15,0.34,0.49,810,309,568,1100,463,1108
Guido Pella,100,1990-05-17,Left,Argentina,183,2007,5731930,1,0.65,0.68,0.51,0.62,0.77,0.63,0.28,0.51,0.37,0.21,0.37,0.5,1241,600,1922,3171,1801,3169
